OBJECTID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_LS_20,TEMP,BUIL_LS_21,BUIL_LS_22,BUIL_LS_23,BUIL_LS_24,PEOP_LS_20,PEOP_LS_21,PEOP_LS_22,PEOP_LS_23,PEOP_LS_24,AGRI_LS_20,AGRI_LS_21,AGRI_LS_22,AGRI_LS_23,AGRI_LS_24,ROAD_LS_20,ROAD_LS_21,ROAD_LS_22,ROAD_LS_23,ROAD_LS_24,BUIL_LS_50,BUIL_LS_51,BUIL_LS_52,BUIL_LS_53,BUIL_LS_54,PEOP_LS_50,PEOP_LS_51,PEOP_LS_52,PEOP_LS_53,PEOP_LS_54,AGRI_LS_50,AGRI_LS_51,AGRI_LS_52,AGRI_LS_53,AGRI_LS_54,ROAD_LS_50,ROAD_LS_51,ROAD_LS_52,ROAD_LS_53,ROAD_LS_54,BUIL_LS_10,BUIL_LS_11,BUIL_LS_12,BUIL_LS_13,BUIL_LS_14,PEOP_LS_10,PEOP_LS_11,PEOP_LS_12,PEOP_LS_13,PEOP_LS_14,AGRI_LS_10,AGRI_LS_11,AGRI_LS_12,AGRI_LS_13,AGRI_LS_14,ROAD_LS_10,ROAD_LS_11,ROAD_LS_12,ROAD_LS_13,ROAD_LS_14,Shape_Length,Shape_Area
1,Asht_Asht,Asht,Asht,2992,65,21835,5352,904,0,0,5117,234,2,0,0,20874,955,7,0,0,2848,128,17,0,0,51,12,1,0,0,5117,234,2,0,0,20874,955,7,0,0,2848,128,17,0,0,51,12,1,0,0,5117,234,2,0,0,20874,955,7,0,0,2848,128,17,0,0,51,12,1,0,143639.8725,349456275
2,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,76782.01811,145765350
3,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,31333.52886,4690012.5
4,Asht_Ponghoz,Asht,Ponghoz,1064,23,28281,5064,859,0,0,4526,538,0,0,0,25429,2852,0,0,0,414,250,399,0,0,21,0,2,0,0,4526,538,0,0,0,25429,2852,0,0,0,414,250,399,0,0,21,0,2,0,0,4526,538,0,0,0,25429,2852,0,0,0,414,250,399,0,0,21,0,2,0,73993.80615,189097087.5
5,Asht_Oshoba,Asht,Oshoba,11576,90,21361,5376,920,0,0,5208,168,0,0,0,20683,679,0,0,0,11344,224,8,0,0,88,1,0,0,0,5208,168,0,0,0,20683,679,0,0,0,11344,224,8,0,0,88,1,0,0,0,5208,168,0,0,0,20683,679,0,0,0,11344,224,8,0,0,88,1,0,0,160412.1856,389722725
6,Asht_Shaydon,Asht,Shaydon,7985,92,6173,7080,1201,0,0,6843,234,3,0,0,6019,152,2,0,0,7854,128,4,0,0,89,2,0,0,0,6843,234,3,0,0,6019,152,2,0,0,7854,128,4,0,0,89,2,0,0,0,6843,234,3,0,0,6019,152,2,0,0,7854,128,4,0,0,89,2,0,0,182506.6164,590353875
7,Asht_Iftikhor,Asht,Iftikhor,2746,55,11415,1917,326,0,0,1903,14,0,0,0,11332,83,0,0,0,2735,11,0,0,0,55,0,0,0,0,1903,14,0,0,0,11332,83,0,0,0,2735,11,0,0,0,55,0,0,0,0,1903,14,0,0,0,11332,83,0,0,0,2735,11,0,0,0,55,0,0,0,93790.38571,148386600
8,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,0,2427,194,1,0,0,8282,664,2,0,0,1956,21,3,0,0,51,20,1,0,32505.91645,23375925
9,Asht_Oriyon,Asht,Oriyon,4075,30,18187,4891,833,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,0,4891,0,0,0,0,18187,0,0,0,0,4075,0,0,0,0,30,0,0,0,45970.3221,54716400
10,Asht_Adrasmon,Asht,Adrasmon,336,30,15100,2845,505,0,0,1642,1202,1,0,0,3489,11609,2,0,0,285,49,2,0,0,10,18,0,0,0,1642,1202,1,0,0,3489,11609,2,0,0,285,49,2,0,0,10,18,0,0,0,1642,1202,1,0,0,3489,11609,2,0,0,285,49,2,0,0,10,18,0,0,38042.06193,83644762.5
11,Asht_Mehrobod,Asht,Mehrobod,9968,104,13250,4515,781,0,0,4490,26,0,0,0,13173,77,0,0,0,9934,32,3,0,0,99,4,1,0,0,4490,26,0,0,0,13173,77,0,0,0,9934,32,3,0,0,99,4,1,0,0,4490,26,0,0,0,13173,77,0,0,0,9934,32,3,0,0,99,4,1,0,169841.5459,746529525
12,Asht_Shodoba,Asht,Shodoba,6133,14,9191,2520,452,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,0,2520,0,0,0,0,9191,0,0,0,0,6133,0,0,0,0,14,0,0,0,47929.50935,75260587.5
