OBJECTID,JAMOAT,DISTRICT,JAMOAT_NAM,AGRI_AREA,ROAD_LENGT,NR_PEOPLE,NR_BUILDIN,BUAT_AREA,BUIL_MF_20,TEMP,BUIL_MF_21,BUIL_MF_22,BUIL_MF_23,BUIL_MF_24,PEOP_MF_20,PEOP_MF_21,PEOP_MF_22,PEOP_MF_23,PEOP_MF_24,AGRI_MF_20,AGRI_MF_21,AGRI_MF_22,AGRI_MF_23,AGRI_MF_24,ROAD_MF_20,ROAD_MF_21,ROAD_MF_22,ROAD_MF_23,ROAD_MF_24,BUIL_MF_50,BUIL_MF_51,BUIL_MF_52,BUIL_MF_53,BUIL_MF_54,PEOP_MF_50,PEOP_MF_51,PEOP_MF_52,PEOP_MF_53,PEOP_MF_54,AGRI_MF_50,AGRI_MF_51,AGRI_MF_52,AGRI_MF_53,AGRI_MF_54,ROAD_MF_50,ROAD_MF_51,ROAD_MF_52,ROAD_MF_53,ROAD_MF_54,BUIL_MF_10,BUIL_MF_11,BUIL_MF_12,BUIL_MF_13,BUIL_MF_14,PEOP_MF_10,PEOP_MF_11,PEOP_MF_12,PEOP_MF_13,PEOP_MF_14,AGRI_MF_10,AGRI_MF_11,AGRI_MF_12,AGRI_MF_13,AGRI_MF_14,ROAD_MF_10,ROAD_MF_11,ROAD_MF_12,ROAD_MF_13,ROAD_MF_14,Shape_Length,Shape_Area
1,Asht_Asht,Asht,Asht,2992,65,21835,5352,904,0,0,10,2221,3122,0,0,7,9065,12763,0,0,159,1165,1667,0,0,2,17,46,0,0,10,2221,3122,0,0,7,9065,12763,0,0,159,1165,1667,0,0,2,17,46,0,0,10,2221,3122,0,0,7,9065,12763,0,0,159,1165,1667,0,0,2,17,46,0,143639.8725,349456275
2,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,76782.01811,145765350
3,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,31333.52886,4690012.5
4,Asht_Ponghoz,Asht,Ponghoz,1064,23,28281,5064,859,0,0,0,2184,2880,0,0,0,11548,16733,0,0,6,225,832,0,0,0,3,21,0,0,0,2184,2880,0,0,0,11548,16733,0,0,6,225,832,0,0,0,3,21,0,0,0,2184,2880,0,0,0,11548,16733,0,0,6,225,832,0,0,0,3,21,0,73993.80615,189097087.5
5,Asht_Oshoba,Asht,Oshoba,11576,90,21361,5376,920,0,0,25,1193,4158,0,0,93,4758,16510,0,0,2935,3147,5493,0,0,3,23,62,0,0,25,1193,4158,0,0,93,4758,16510,0,0,2935,3147,5493,0,0,3,23,62,0,0,25,1193,4158,0,0,93,4758,16510,0,0,2935,3147,5493,0,0,3,23,62,0,160412.1856,389722725
6,Asht_Shaydon,Asht,Shaydon,7985,92,6173,7080,1201,0,0,0,1161,5919,0,0,0,753,5420,0,0,2,140,7843,0,0,0,7,85,0,0,0,1161,5919,0,0,0,753,5420,0,0,2,140,7843,0,0,0,7,85,0,0,0,1161,5919,0,0,0,753,5420,0,0,2,140,7843,0,0,0,7,85,0,182506.6164,590353875
7,Asht_Iftikhor,Asht,Iftikhor,2746,55,11415,1917,326,0,0,15,1177,725,0,0,0,7184,4232,0,0,646,1132,969,0,0,2,19,34,0,0,15,1177,725,0,0,0,7184,4232,0,0,646,1132,969,0,0,2,19,34,0,0,15,1177,725,0,0,0,7184,4232,0,0,646,1132,969,0,0,2,19,34,0,93790.38571,148386600
8,Asht_Punuk,Asht,Punuk,1980,73,8948,2622,440,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,0,525,729,1368,0,0,1794,2488,4666,0,0,561,610,810,0,0,21,10,42,0,32505.91645,23375925
9,Asht_Oriyon,Asht,Oriyon,4075,30,18187,4891,833,0,0,314,3676,901,0,0,1115,13689,3383,0,0,569,2117,1389,0,0,1,22,8,0,0,314,3676,901,0,0,1115,13689,3383,0,0,569,2117,1389,0,0,1,22,8,0,0,314,3676,901,0,0,1115,13689,3383,0,0,569,2117,1389,0,0,1,22,8,0,45970.3221,54716400
10,Asht_Adrasmon,Asht,Adrasmon,336,30,15100,2845,505,0,0,0,1239,1607,0,0,0,11405,3695,0,0,0,37,300,0,0,0,17,12,0,0,0,1239,1607,0,0,0,11405,3695,0,0,0,37,300,0,0,0,17,12,0,0,0,1239,1607,0,0,0,11405,3695,0,0,0,37,300,0,0,0,17,12,0,38042.06193,83644762.5
11,Asht_Mehrobod,Asht,Mehrobod,9968,104,13250,4515,781,0,0,29,1983,2503,0,0,89,5944,7217,0,0,2081,1435,6453,0,0,4,7,93,0,0,29,1983,2503,0,0,89,5944,7217,0,0,2081,1435,6453,0,0,4,7,93,0,0,29,1983,2503,0,0,89,5944,7217,0,0,2081,1435,6453,0,0,4,7,93,0,169841.5459,746529525
12,Asht_Shodoba,Asht,Shodoba,6133,14,9191,2520,452,0,0,158,145,2218,0,0,610,529,8052,0,0,427,1356,4350,0,0,0,3,11,0,0,158,145,2218,0,0,610,529,8052,0,0,427,1356,4350,0,0,0,3,11,0,0,158,145,2218,0,0,610,529,8052,0,0,427,1356,4350,0,0,0,3,11,0,47929.50935,75260587.5
